Venue Categories,Venue Type,Indoor or Outdoor
Cajun / Creole Restaurant,Restaurant,Indoor
Storage Facility,Retail,Indoor
Check Cashing Service,Retail,Indoor
Arcade,Entertainment,Indoor
Fish & Chips Shop,Retail,Indoor
Bridge,Entertainment,Outdoor
River,Entertainment,Outdoor
Cheese Shop,Retail,Indoor
Bookstore,Retail,Indoor
Gaming Cafe,Entertainment,Indoor
Metro Station,Public transport,Indoor
Soup Place,Restaurant,Indoor
Waterfront,Entertainment,Outdoor
Farmers Market,Retail,Outdoor
Tram Station,Public transport,Outdoor
Salad Place,Restaurant,Indoor
Health Food Store,Retail,Indoor
Club House,Entertainment,Indoor
Cuban Restaurant,Restaurant,Indoor
Wine Bar,Restaurant,Indoor
Cocktail Bar,Restaurant,Indoor
English Restaurant,Restaurant,Indoor
Vegetarian / Vegan Restaurant,Restaurant,Indoor
Beer Garden,Restaurant,Indoor
Czech Restaurant,Restaurant,Indoor
Bike Trail,Entertainment,Outdoor
Building,Retail,Indoor
School,Retail,Indoor
Movie Theater,Entertainment,Indoor
Field,Entertainment,Outdoor
Persian Restaurant,Restaurant,Indoor
Roof Deck,Entertainment,Outdoor
Library,Entertainment,Indoor
New American Restaurant,Restaurant,Indoor
Doctors Office,Retail,Indoor
Monument / Landmark,Entertainment,Outdoor
Jewelry Store,Retail,Indoor
Falafel Restaurant,Restaurant,Indoor
Museum,Entertainment,Indoor
Food Court,Restaurant,Indoor
Cycle Studio,Retail,Indoor
Lingerie Store,Retail,Indoor
Memorial Site,Entertainment,Outdoor
Pedestrian Plaza,Public transport,Outdoor
Japanese Curry Restaurant,Restaurant,Indoor
Hotel Bar,Restaurant,Indoor
Auditorium,Entertainment,Indoor
Electronics Store,Retail,Indoor
Comic Shop,Retail,Indoor
Paper / Office Supplies Store,Retail,Indoor
Comfort Food Restaurant,Restaurant,Indoor
Pilates Studio,Entertainment,Indoor
Noodle House,Restaurant,Indoor
Social Club,Entertainment,Indoor
Burrito Place,Restaurant,Indoor
Jazz Club,Entertainment,Indoor
Exhibit,Entertainment,Outdoor
Chocolate Shop,Retail,Indoor
Outdoor Sculpture,Entertainment,Outdoor
Udon Restaurant,Restaurant,Indoor
Lebanese Restaurant,Restaurant,Indoor
Boutique,Retail,Indoor
Comedy Club,Entertainment,Indoor
Creperie,Restaurant,Indoor
Cupcake Shop,Retail,Indoor
Beer Store,Retail,Indoor
Outdoor Supply Store,Retail,Indoor
Indie Movie Theater,Entertainment,Indoor
Brazilian Restaurant,Restaurant,Indoor
Peruvian Restaurant,Restaurant,Indoor
Australian Restaurant,Restaurant,Indoor
Pie Shop,Retail,Indoor
